method,beta,se,pval,ci_lower,ci_upper,intercept,intercept_se,intercept_p,n_snps,cancer
MR-Egger,-0.0026390843322490476,0.0008915148520677375,0.006480701204024398,-0.0043864534423018135,-0.0008917152221962822,0.0008136882513753828,0.00022531655452942223,0.0012770663876568449,28,LUAD
Weighted median,-0.006406962997285545,0.00040341138668921483,0.0,-0.007197649315196407,-0.005616276679374684,,,,28,LUAD
MR-Egger,-0.001555868655187441,0.0006394243586620592,0.02398568350414395,-0.002809140398165077,-0.0003025969122098049,0.001286833700106777,0.0001467626252399874,1.8369119106925884e-08,23,LUSC
Weighted median,-0.007269332055702961,0.00023755249584138144,0.0,-0.007734934947552069,-0.006803729163853854,,,,23,LUSC
